"Statistic","Reason for Journey","Year","UNIT","All types of accommodation","Hotels","Rented house/apartment","Friends/relatives","Guest house/bed &breakfast","Other"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2009","Thousand","52823","11187","9422","18177","4484","9553"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2010","Thousand","47971","11265","8346","15110","3989","9261"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2011","Thousand","50323","12552","8494","14785","4169","10324"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2012","Thousand","47942","14180","6048","13331","4074","10311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2013","Thousand","50985","14272","6935","14336","4451","10992"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2014","Thousand","54877","14707","7852","16096","5171","11051"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2015","Thousand","61228","17375","9429","15794","6729","11900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2016","Thousand","66399","18522","10387","17219","7854","12417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2017","Thousand","68652","19183","10825","16969","8594","13082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2018","Thousand","70886","20060","11075","17157","9575","13018"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All reasons for journey","2019","Thousand","70418","20890","10971","17060","8930","12567"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2009","Thousand","19892","7231","3134","2429","2856","4242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2010","Thousand","18304","7135","2603","2155","2572","3839"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2011","Thousand","18899","8259","2322","2330","2783","3206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2012","Thousand","18682","9190","1437","2067","2340","3648"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2013","Thousand","20304","9380","1408","2384","2996","4135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2014","Thousand","21779","9603","1805","2635","3445","4290"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2015","Thousand","25970","11676","2217","2621","4645","4812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2016","Thousand","28230","12369","2443","2844","5549","5025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2017","Thousand","30118","12853","2546","3080","6101","5539"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2018","Thousand","32839","14144","3062","2795","6955","5882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Holiday/leisure/recreation","2019","Thousand","31892","14533","2899","2800","6301","5358"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2009","Thousand","19452","1309","1885","14348","780","1130"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2010","Thousand","15816","1213","1119","11922","509","1053"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2011","Thousand","14851","1175","957","11176","514","1029"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2012","Thousand","13308","1180","498","9736","455","1439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2013","Thousand","14624","1466","569","10480","454","1655"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2014","Thousand","16437","1606","650","11545","578","2058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2015","Thousand","16837","1794","863","11558","663","1959"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2016","Thousand","18343","1769","852","12729","795","2198"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2017","Thousand","18355","2050","933","12274","864","2232"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2018","Thousand","18747","1911","963","12750","927","2196"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Visit to friends/relatives","2019","Thousand","19020","2076","932","12803","1018","2191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2009","Thousand","5561","2346","1780","500","304","631"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2010","Thousand","5646","2414","1584","622","399","627"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2011","Thousand","5548","2575","1384","572","258","758"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2012","Thousand","5853","3099","895","729","370","759"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2013","Thousand","6708","2936","1670","698","284","1120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2014","Thousand","7143","3074","1691","849","347","1182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2015","Thousand","7644","3471","1811","851","401","1109"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2016","Thousand","8764","3856","2300","882","507","1218"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2017","Thousand","9078","3814","2449","760","618","1437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2018","Thousand","8840","3466","2361","933","735","1346"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Business","2019","Thousand","8793","3683","2557","741","544","1269"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2009","Thousand","7918","301","2623","900","544","3550"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2010","Thousand","8204","503","3040","411","509","3741"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2011","Thousand","11024","543","3831","706","613","5331"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2012","Thousand","10100","711","3218","798","909","4464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2013","Thousand","9350","490","3288","773","717","4082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2014","Thousand","9519","424","3705","1068","801","3521"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2015","Thousand","10776","433","4538","764","1021","4020"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2016","Thousand","11062","528","4792","764","1003","3975"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2017","Thousand","11101","465","4897","854","1010","3874"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2018","Thousand","10460","540","4688","680","958","3595"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other reason for journey","2019","Thousand","10713","598","4582","716","1068","3749"
